from_branch_id,cnt
69c7ed90b08bf300079525ff,4
6758fd769a7eec00074b4f39,5
67452737b91edc0007d3a5a2,4
68d5d42334a4390007b5e9f4,4
6698837b09240a0007fe460b,1
62342407b35d1d0007379692,10
698068c7c5ba5d0007a19878,3
674992c03a02640007635260,4
6679414ae2bdbb00071c8045,7
6704d90ee592660007bc1a4a,2
694b4b31c37a7f0007d32e0c,5
62b28123bae44600073fbe35,3
65e58662ec5a900007da8570,4
69a7a3b5bc71100007c10a74,3
69d754a0f12d750007a07950,4
6a34ed8d6607ba000703e235,28
69082a0632642700070fca61,2
62faf902296748000777dc31,4
69ae861fb08bf300077fe52e,2
64f8374b2d0e52000700f556,3
61d4ff152997ae0007f5acb9,5
6614aace52f1980007f3502e,5
65642ed4df01db00073f8603,4
66a8df3057c7b800078e6430,6
673a99d8933ceb00071709b4,8
67c91e47fb718a00071df09d,3
69bd0d261d4e620007488eb4,5
62610441866a62000765c13b,4
69cc5dd1b08bf3000798c054,4
693a60513be5090007371a06,4
691189c10be6a5000755e9bc,2
698ad48e39ea690007623cbe,6
6a03e0ce8b59ca00076b64a4,2
69c602a88abcc6000745de5a,3
6a34ed56f23028000774139f,373
687758b86182270007a48966,3
69f816628b59ca0007501251,6
67e9f7edbe2ea00007a88a83,5
693124d7c6e7f800072f54e8,5
657a8471fee44d0007de5d58,6
691a94414789f00007d8115b,4
5f33b053800f55000621b617,5
63c7d46321e0f700084308df,6
69bcfc8e8abcc600073e596d,3
6908567d122dbb000646be64,3
6315b8afae739600076b9ee8,3
69b38df3b08bf300078408e3,5
69baa5c71d4e620007464330,6
695f6babc6e4b20006bd2f16,3
67ff087dad448b0007b51ff4,2
691a8cfb0be6a500075daae6,6
669f541d2abb6e0007f7955b,2
62d90238058d5b0007050500,4
6764a9ddfac80700076292bf,3
65654b82df01db0007400173,1
